Imagen,Archivo,Tanque,Día,Nivel TK en TDC,Caudal,Nivel TK %,T_TK,T_amb,Humedad Relativa,"Radiación
 Solar",Precipitación,"Velocidad 
Viento","Dirección 
Viento"
Imagen,Tk_103_251006_2239,103,10/6/25 22:39,3476,"3103,7 m3/h",22%,"28,5 °C","15,8 °C",94%,2 W/m2, mm/m2,"1,0 m/s",180 °
#VALUE!,Tk_103_251007_0011,103,10/7/25 0:11,4880,"3196,6 m3/h",31%,"30,0 °C","15,6 °C",95%,2 W/m2, mm/m2,"1,6 m/s",180 °
#VALUE!,Tk_103_251007_0141,103,10/7/25 1:41,6128,"3242,9 m3/h",39%,"30,7 °C","14,8 °C",95%,2 W/m2, mm/m2,"0,5 m/s",180 °
#VALUE!,Tk_103_251007_0309,103,10/7/25 3:09,7169,"3325,2 m3/h",46%,"30,9 °C","14,1 °C",96%,2 W/m2, mm/m2,"1,0 m/s",180 °
#VALUE!,Tk_103_251007_0439,103,10/7/25 4:39,8443,"3336,9 m3/h",54%,"31,6 °C","13,5 °C",96%,1 W/m2, mm/m2,"1,5 m/s",180 °
#VALUE!,TK103_251007_0636,103,10/7/25 6:36,10671,"5601,8 m3/h",68%,"32,0 °C","13,4 °C",94%,2 W/m2, mm/m2,"2,4 m/s",179 °
#VALUE!,TK103_251007_0823,103,10/7/25 8:23,12891,"3967,3 m3/h",83%,"32,3 °C","14,3 °C",72%,2 W/m2, mm/m2,"2,3 m/s",179 °
#VALUE!,TK103_251007_0953,103,10/7/25 9:53,14209,"2773,4 m3/h",91%,"32,2 °C","13,9 °C",75%,37 W/m2, mm/m2,"1,7 m/s",180 °
#VALUE!,TK103_251007_1118,103,10/7/25 11:18,14992,"1102,7 m3/h",96%,"32,1 °C","21,2 °C",60%,511 W/m2, mm/m2,"1,6 m/s",180 °
#VALUE!,TK103_251007_1247,103,10/7/25 12:47,15294,"1717,9 m3/h",98%,"32,1 °C","23,2 °C",56%,409 W/m2, mm/m2,"1,1 m/s",179 °
#VALUE!,TK103_251007_1420,103,10/7/25 14:20,15446,"0,0 m3/h",99%,"32,1 °C","24,1 °C",52%,642 W/m2, mm/m2,"2,8 m/s",179 °
#VALUE!,TK103_251007_1545,103,10/7/25 15:45,15447,"0,0 m3/h",99%,"32,1 °C","22,9 °C",63%,548 W/m2, mm/m2,"3,1 m/s",179 °
#VALUE!,TK103_251007_1726,103,10/7/25 17:26,15446,"0,0 m3/h",99%,"32,1 °C","22,1 °C",55%,248 W/m2, mm/m2,"2,5 m/s",179 °
#VALUE!,TK103_251007_1842,103,10/7/25 18:42,15446,"0,0 m3/h",99%,"32,1 °C","21,0 °C",62%,21 W/m2, mm/m2,"2,0 m/s",180 °
#VALUE!,TK103_251007_2006,103,10/7/25 20:06,15448,"0,0 m3/h",99%,"32,1 °C","18,8 °C",81%,2 W/m2, mm/m2,"0,6 m/s",179 °
#VALUE!,TK103_251007_2234,103,10/7/25 22:34,15448,"0,0 m3/h",99%,"32,0 °C","16,8 °C",89%,2 W/m2, mm/m2,"1,3 m/s",180 °
#VALUE!,TK103_251007_2336,103,10/7/25 23:36,15448,"0,0 m3/h",99%,"32,0 °C","16,6 °C",91%,2 W/m2, mm/m2,"1,6 m/s",180 °
#VALUE!,TK103_251008_0058,103,10/8/25 0:58,15448,"0,0 m3/h",99%,"31,9 °C","16,4 °C",92%,1 W/m2, mm/m2,"1,7 m/s",180 °
#VALUE!,TK103_251008_0225,103,10/8/25 2:25,15447,"0,0 m3/h",99%,"31,9 °C","16,4 °C",92%,2 W/m2, mm/m2,"1,0 m/s",180 °
#VALUE!,TK103_251008_0333,103,10/8/25 3:33,15446,"0,0 m3/h",99%,"31,9 °C","15,2 °C",92%,2 W/m2, mm/m2,"0,9 m/s",179 °
#VALUE!,TK103_251008_0456,103,10/8/25 4:56,15446,"0,0 m3/h",99%,"31,8 °C","13,9 °C",95%,1 W/m2, mm/m2,"0,5 m/s",179 °
#VALUE!,TK103_251008_0621,103,10/8/25 6:21,15445,"0,0 m3/h",99%,"31,8 °C","13,9 °C",96%,1 W/m2, mm/m2,"1,1 m/s",180 °
#VALUE!,TK103_251008_0748,103,10/8/25 7:48,15445,"0,0 m3/h",99%,"31,7 °C","14,1 °C",97%,1 W/m2, mm/m2,"1,4 m/s",179 °
#VALUE!,TK103_251008_0911,103,10/8/25 9:11,15443,"0,0 m3/h",99%,"31,7 °C","14,7 °C",97%,64 W/m2, mm/m2,"1,4 m/s",180 °
#VALUE!,TK103_251008_1125,103,10/8/25 11:25,15439,"0,0 m3/h",99%,"31,7 °C","19,9 °C",85%,261 W/m2, mm/m2,"0,6 m/s",180 °
#VALUE!,TK103_251013_0746,103,10/13/25 7:46,11027,"-452,2 m3/h",71%,"31,3 °C","18,8 °C",86%,2 W/m2, mm/m2,"2,8 m/s",180 °
#VALUE!,TK103_251013_1445,103,10/13/25 14:45,10314,"-336,2 m3/h",66%,"31,3 °C","27,6 °C",65%,359 W/m2, mm/m2,"0,7 m/s",177 °
#VALUE!,TK103_251014_0722,103,10/14/25 7:22,9262,"-243,3 m3/h",59%,"30,9 °C","14,5 °C",98%,1 W/m2, mm/m2,"0,9 m/s",179 °
#VALUE!,TK103_251014_1419,103,10/14/25 14:19,8860,"-231,7 m3/h",57%,"30,8 °C","21,0 °C",87%,237 W/m2, mm/m2,"1,9 m/s",180 °
#VALUE!,TK103_251015_1244,103,10/15/25 12:44,7669,"-216,3 m3/h",49%,"30,2 °C","20,4 °C",82%,490 W/m2, mm/m2,"1,5 m/s",179 °
#VALUE!,TK103_251016_1415,103,10/16/25 14:15,5512,"-428,5 m3/h",35%,"29,8 °C","19,7 °C",77%,403 W/m2, mm/m2,"4,0 m/s",178 °
#VALUE!,TK103_251017_0816,103,10/17/25 8:16,5077,"0,0 m3/h",33%,"29,3 °C","15,6 °C",99%,1 W/m2, mm/m2,"0,5 m/s",179 °
#VALUE!,TK103_251020_0840,103,10/20/25 8:40,5331,"0,0 m3/h",34%,"26,9 °C","14,9 °C",93%,3 W/m2, mm/m2,"0,9 m/s",176 °
#VALUE!,TK103_251020_1447,103,10/20/25 14:47,5327,"0,0 m3/h",34%,"26,7 °C","20,6 °C",69%,173 W/m2, mm/m2,"2,8 m/s",175 °
#VALUE!,TK103_251021_0836,103,10/21/25 8:36,5326,"0,0 m3/h",34%,"26,4 °C","20,6 °C",73%,2 W/m2, mm/m2,"1,6 m/s",175 °
#VALUE!,TK103_251021_1247,103,10/21/25 12:47,5323,"0,0 m3/h",34%,"26,3 °C","24,0 °C",73%,481 W/m2, mm/m2,"1,8 m/s",174 °
#VALUE!,TK103_251022_0914,103,10/22/25 9:14,5325,"0,0 m3/h",34%,"25,9 °C","20,3 °C",84%,10 W/m2, mm/m2,"0,6 m/s",176 °
#VALUE!,TK103_251023_0904,103,10/23/25 9:04,5329,"0,0 m3/h",34%,"25,4 °C","16,6 °C",66%,18 W/m2, mm/m2,"3,1 m/s",178 °
