,YTK103.L,YTK103.T
2025-01-07 23:01:48,11336,"18,79999924"
2025-01-07 23:16:48,11336,"18,79999924"
2025-01-07 23:31:48,11336,"18,79999924"
2025-01-07 23:46:48,11336,"18,79999924"
2025-01-08 00:01:48,11338,"18,79999924"
2025-01-08 00:16:48,11338,"18,79999924"
2025-01-08 00:31:48,11339,"18,79999924"
2025-01-08 00:46:48,11342,"18,79999924"
2025-01-08 01:01:48,11346,"18,79999924"
2025-01-08 01:16:48,11356,"18,79999924"
2025-01-08 01:31:48,11373,"18,79999924"
2025-01-08 01:46:48,11386,"18,79999924"
2025-01-08 02:01:48,11399,"18,89999962"
2025-01-08 02:16:48,11412,"18,89999962"
2025-01-08 02:31:48,11426,"18,89999962"
2025-01-08 02:46:48,11439,"18,89999962"
2025-01-08 03:01:48,11438,19
2025-01-08 03:16:48,11440,19
2025-01-08 03:31:48,11447,19
2025-01-08 03:46:48,11448,19
2025-01-08 04:01:48,11449,19
2025-01-08 04:16:48,11447,19
2025-01-08 04:31:48,11446,19
2025-01-08 04:46:48,11446,19
2025-01-08 05:01:48,11446,19
2025-01-08 05:16:48,11448,19
2025-01-08 05:31:48,11448,19
2025-01-08 05:46:48,11448,19
2025-01-08 06:01:48,11446,19
2025-01-08 06:16:48,11448,19
2025-01-08 06:31:48,11447,19
2025-01-08 06:46:48,11448,19
2025-01-08 07:01:48,11449,19
2025-01-08 07:16:48,11453,19
2025-01-08 07:31:48,11455,19
2025-01-08 07:46:48,11456,19
2025-01-08 08:01:48,11459,19
2025-01-08 08:16:48,11461,19
2025-01-08 08:31:48,11463,19
2025-01-08 08:46:48,11463,19
2025-01-08 09:01:48,11465,19
2025-01-08 09:16:48,11467,19
2025-01-08 09:31:48,11467,19
2025-01-08 09:46:48,11467,19
2025-01-08 10:01:48,11468,19
2025-01-08 10:16:48,11469,19
2025-01-08 10:31:48,11468,19
2025-01-08 10:46:48,11467,19
2025-01-08 11:01:48,11466,19
2025-01-08 11:16:48,11467,19
2025-01-08 11:31:48,11467,19
2025-01-08 11:46:48,11468,19
2025-01-08 12:01:48,11469,19
2025-01-08 12:16:48,11469,19
2025-01-08 12:31:48,11482,19
2025-01-08 12:46:48,11509,19
2025-01-08 13:01:48,11519,19
2025-01-08 13:16:48,11519,19
2025-01-08 13:31:48,11520,19
2025-01-08 13:46:48,11519,19
2025-01-08 14:01:48,11520,19
2025-01-08 14:16:48,11519,19
2025-01-08 14:31:48,11525,19
2025-01-08 14:46:48,11528,19
2025-01-08 15:01:48,11532,19
