Imagen,Archivo,Tanque,Día,Nivel TK en TDC,Caudal,Nivel TK %,T_TK,T_amb,Humedad Relativa,Radiación Solar,Precipitación,Velocidad Viento,Dirección Viento,imagen_path,imagen_numero,thermal_crudo_px,thermal_emulsion_px,thermal_agua_px,thermal_crudo_ratio,thermal_emulsion_ratio,thermal_agua_ratio,thermal_temp_crudo_mean,thermal_temp_emulsion_mean,thermal_temp_agua_mean,thermal_interface_top_px,thermal_interface_bottom_px,thermal_interface_confidence,thermal_gradient_max,thermal_gradient_std,status,sigma_Caudal,sigma_Nivel TK %,sigma_combined,batch_type,hipotesis_validada,n_significativas,corr_gradiente_sigma_caudal,p_value_gradiente_sigma_caudal,corr_confianza_sigma_caudal,p_value_confianza_sigma_caudal,batch_gradiente_mean,batch_confianza_mean,batch_emulsion_mean,batch_agua_mean
imagenes\\Imagen29.png,TK103_251013_1445,103,10/13/25 14:45,10314,-336.2,66.0,31.3,27.6,65.0,359.0,2.0,0.7,177.0,./imagenes/Imagen29.jpg,29,196.0,302.0,14.0,0.3828125,0.58984375,0.02734375,106.03447863520408,97.09261175496688,86.87589285714286,196,498,0.12,4.284022432336627,1.1684278114710362,success,110.29996977938539,7.094598884597589,-0.7005393009219503,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen28.png,TK103_251013_0746,103,10/13/25 7:46,11027,-452.2,71.0,31.3,18.8,86.0,2.0,2.0,2.8,180.0,./imagenes/Imagen28.jpg,28,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,44.772702205882354,126.73331505847952,133.00985014619883,170,341,0.0,4.475603596950769,1.0308076929109369,success,102.22551866665516,6.448514040717703,-0.7321752197023662,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen31.png,TK103_251014_1419,103,10/14/25 14:19,8860,-231.7,57.0,30.8,21.0,87.0,237.0,2.0,1.9,180.0,./imagenes/Imagen31.jpg,31,220.0,276.0,16.0,0.4296875,0.5390625,0.03125,116.68102982954544,105.9598335597826,94.16474609375,220,496,0.24,4.0311456684646885,1.0741348629802092,success,99.09380909017473,8.473488065725945,-0.650540284824919,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen30.png,TK103_251014_0722,103,10/14/25 7:22,9262,-243.3,59.0,30.9,14.5,98.0,1.0,2.0,0.9,179.0,./imagenes/Imagen30.jpg,30,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,26.79699448529412,90.2625548245614,137.85741959064327,170,341,0.0,7.336667416065339,1.2129316211967898,success,115.67817425945138,13.311649033834989,-0.44066855755135337,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen32.png,TK103_251015_1244,103,10/15/25 12:44,7669,-216.3,49.0,30.2,20.4,82.0,490.0,2.0,1.5,179.0,./imagenes/Imagen32.jpg,32,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,100.47833639705884,93.54458150584796,55.513413742690055,170,341,0.0,5.819847635137037,1.4528417726963982,success,152.05863342803,12.11610498468877,-0.4675934650332626,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen33.png,TK103_251016_1415,103,10/16/25 14:15,5512,-428.5,35.0,29.8,19.7,77.0,403.0,2.0,4.0,178.0,./imagenes/Imagen33.jpg,33,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,77.40141544117647,141.86202485380116,61.199122807017545,170,341,0.0,3.7843895815735777,1.2043206377965523,success,181.55474931821527,11.532562594670798,-0.47350397715372716,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen34.png,TK103_251017_0816,103,10/17/25 8:16,5077,0.0,33.0,29.3,15.6,99.0,1.0,2.0,0.5,179.0,./imagenes/Imagen34.jpg,34,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,36.63124080882353,49.06236293859649,106.64237938596492,170,341,0.0,4.225225261600627,1.0685453628594097,success,191.86227612534984,6.745368781616025,-0.6647063244650082,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen36.png,TK103_251020_1447,103,10/20/25 14:47,5327,0.0,34.0,26.7,20.6,69.0,173.0,2.0,2.8,175.0,./imagenes/Imagen36.png,36,265.0,234.0,13.0,0.517578125,0.45703125,0.025390625,141.0452830188679,141.01305422008548,137.92572115384615,265,499,0.2,1.900087089490171,0.5791462960194983,success,191.63102567173192,0.7071067811865878,-0.9140283947978298,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen35.png,TK103_251020_0840,103,10/20/25 8:40,5331,0.0,34.0,26.9,14.9,93.0,3.0,2.0,0.9,176.0,./imagenes/Imagen35.jpg,35,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,59.04766544117647,106.29078033625731,82.99411549707602,170,341,0.0,5.479781898223841,1.0904444286025703,success,0.0,0.4472135955000217,-1.0428032219319845,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
imagenes\\Imagen38.png,TK103_251021_1247,103,10/21/25 12:47,5323,0.0,34.0,26.3,24.0,73.0,481.0,2.0,1.8,174.0,./imagenes/Imagen38.png,38,170.0,171.0,171.0,0.33203125,0.333984375,0.333984375,143.05004595588235,156.2749360380117,61.42850877192983,170,341,0.0,4.855231019889409,1.328342811970206,success,0.0,0.0,-1.061258285825565,estable,False,0,0.1510034140950362,0.37232704772931047,-0.18589069669824632,0.2706551890582963,4.7395,0.0421,0.3508,0.2693
